key_id,key,english,zh-CN,translation
50306307297375,description_weapon_fire launcher,"Launch a <style=""Fire""> fire</style> grenade that will ignite targets and leave a blaze behind","发射<style=""Fire"">火焰</style>手雷，能点燃目标，暂时造成地面燃烧","<style=""Fire""> 화염</style> 수류탄을 발사하여 대상을 점화하고 불길을 남긴다"
50306307297376,title_weapon_ice launcher,Ice Launcher,冰霜发射器,빙결 발사기
50306307297377,description_weapon_ice launcher,"Launch an <style=""Ice""> ice</style> grenade that will freeze (slow & weaken) targets.","发射<style=""Ice"">冰冻</style>手雷，能冻结（减慢&弱化）目标。","<style=""Ice""> 빙결</style> 수류탄을 발사하여 대상을 동결(둔화 & 약화)시킨다."
8776452733636608,damage,Damage,伤害,피해량
8776652843880448,magazine,Magazine,弹匣,탄창
8776710926602240,fire rate,Rate of Fire,射速,연사 속도
8780433564340224,replace,Replace,替换,교체
8794891145678848,title_ability_sprint,Sprint,快跑,전력질주
8794891149873152,description_ability_sprint,Run faster at the expense of stamina,消耗耐力，跑得更快,스태미나를 소모하여 더 빠르게 달린다
8794891149873153,title_weapon_shuttlecock launcher,Shuttlecock Launcher,羽毛球发射器,셔틀콕 발사기
8794891149873154,description_weapon_shuttlecock launcher,Launches a shuttlecock—don't expect too much.,能发射羽毛球——别指望它能派上太大用场。,셔틀콕을 발사한다—기대는 하지 말고.
8794891149873155,title_weapon_batshot,Batshot,蝙蝠之嗜,배트샷
8794891149873156,description_weapon_batshot,Heals the shooter when they hit an enemy,击中敌人时治疗射手,적을 맞추면 사수를 치유한다
8794891149873157,title_weapon_dragon,Dragon,潜龙逐日,드래곤
8794891149873158,description_weapon_dragon,"Set your enemies ablaze with <style=""Fire""> incendiary</style> rounds.","用<style=""Fire"">燃烧</style>弹点燃你的敌人。","<style=""Fire""> 소이</style> 탄환으로 적을 불태워라."
8795786705080320,title_perk_minimap,Mini-map,小地图,미니맵
9053807087685640,title_perk_ammo capacity 1,Fannypack,腰包,허리 파우치
9053807087685641,description_perk_ammo capacity 1,"Increase base ammo capacity for all ammo types by <style=""Green"">{0}</style>","所有类型弹药的基本容量增加　<style=""Green"">{0}</style>","모든 탄약 유형의 기본 탄약 용량이 <style=""Green"">{0}</style> 증가"
9487110945083392,options,Options,选项,옵션
9487174828527616,display,Display,显示,디스플레이
9487202011811840,audio,Audio,声音,오디오
9490794076672000,master volume,Master Volume,主音量,마스터 볼륨
9490921990361088,sfx volume,Sound Effects Volume,音效音量,효과음 볼륨
9490953833517056,music volume,Music Volume,音乐音量,음악 볼륨
9492484318269440,display mode,Display Mode,显示模式,디스플레이 모드
9493082325356544,resolution,Resolution,分辨率,해상도
9498718505242624,display mode_windowed,Windowed,窗口化,창 모드
9498805977452544,display mode_exclusivefullscreen,Fullscreen,全屏,전체화면
9498850105724928,display mode_fullscreenwindow,Borderless Window,无边窗口,창 전체화면
9506260379734016,close,Close,关闭,닫기
9529532232208384,active display,Active Display,启动显示,활성 디스플레이
9873644735139840,apply,Apply,应用,적용
11611143186649088,card type weapon,Weapon,武器,무기
11611192578772992,card type perk,Perk,额外提升,퍽
11622123958407168,card type ability,Ability,能力,능력
14870455346499584,title_weapon_tempest twins,Tempest Twins,暴风双子,템페스트 트윈즈
14870493325922304,description_weapon_tempest twins,Twice the fury,两倍愤怒,두 배의 격노
16389132575281152,announcement_ticked,{0} is ticked!,{0} 被蜱虫咬了！,{0}이(가) 진드기에 물렸다!
16389365921189888,announcement_delivered crate,{0} delivered the Crate!,{0}传送了箱子！,{0}이(가) 보급 상자를 전달했다!
16389592707207168,announcement_picked up crate,{0} grabbed the Crate!,{0}拿到了箱子！,{0}이(가) 보급 상자를 획득했다!
16389714627235840,announcement_downed,{0} is down!,{0} 倒下了！,{0} 다운!
16389952255528960,announcement_difficulty increased,Difficulty increased: {0},难度提升： {0},난이도 증가: {0}
16397901585682432,tutorial_find and deliver crate,Find the Crate and bring it back,找到箱子并把它带回来,보급 상자를 찾아서 가져와라
16397901589876736,tutorial_deliver crate,Deliver the UpCrate back to the exit!,把升级箱送回出口！,업크레이트를 출구로 전달하라!
16397901589876737,tutorial_protect the crate,Protect the carrier at all cost,不惜一切代价保护携带者,운반자를 반드시 보호하라
16397901589876738,tutorial_revive,You can revive teammates by interacting with them,你可以与队友互动来复活他们,아군과 상호작용하여 부활시킬 수 있다
16397901589876739,tutorial_medic_heal,Use your talent to heal wounded teammates,使用你的天赋来治疗受伤的队友,재능을 사용하여 부상당한 아군을 치료하라
16398555691585536,tutorial_ammo pickup,Ammo replenished,已补充弹药,탄약 보충 완료
16404692742672384,tutorial_ticked,Use gunfire to clear ticks off your teammate,使用枪械清除队友身上的蜱虫,총격으로 아군에 붙은 진드기를 제거하라
16668270901039104,tutorial_pickup crate,Pick up the Crate... but be ready for the horde,捡起箱子……但要准备好迎接大批敌人,보급 상자를 들어라... 하지만 적 무리에 대비하라
17392914038829056,tutorial_ammo station,Replenish ammo at an ammo station,在弹药库补充弹药,탄약 보급소에서 탄약을 보충하라
17806869243019264,title_weapon_americannon,Freedom .50,自由卫士.50,프리덤 .50
17806869284962304,description_weapon_americannon,Large-caliber hand cannon designed to keep the passionate patriot and their family safe.,为了保护热情的爱国者及其家人而设计的大口径手炮。,열혈 애국자와 가족의 안전을 위해 태어난 대구경 핸드 캐논. 민주주의의 맛이다.
17807066316587008,title_weapon_thundershot,Thundershot,雷霆之击,썬더샷
17807066316587009,description_weapon_thundershot,"Light-weight sidearm with <style=""Lightning""> electrically</style> charged rounds","一款轻量副武器，使用<style=""Lightning"">电击</style>子弹","<style=""Lightning""> 전기</style> 충전 탄환을 사용하는 경량 보조 무기"
18918411280289792,announcement_player left,{0} left the game,{0} 离开了游戏,{0}이(가) 게임을 떠났다
18941815270117376,error_photon_failed to connect,Failed to connect to Photon servers [{0}],连接Photon服务器失败【{0}】,Photon 서버 연결 실패 [{0}]
18941815270117377,error_photon_wrong roomcode,Failed to join game: Game does not exist [{0}],加入游戏失败：游戏不存在【{0}】,게임 참가 실패: 존재하지 않는 게임 [{0}]
18941815270117378,error_photon_game closed,Failed to join game: Game already started [{0}],加入游戏失败：游戏已经开始【{0}】,게임 참가 실패: 이미 시작된 게임 [{0}]
18941815270117379,error_photon_general connection,Failed to connect to game: Please try again [{0}],连接游戏失败：请再试一次【{0}】,게임 연결 실패: 다시 시도해 주세요 [{0}]
18941815270117380,error_photon_game full,Failed to join game: Game is full [{0}],加入游戏失败：游戏已满【{0}】,게임 참가 실패: 게임이 가득 찼습니다 [{0}]
18941815270117381,error_photon_create game,Failed to create game: Please try again [{0}],创建游戏失败，请重试【{0}】,"게임 생성 실패, 다시 시도해 주세요 [{0}]"
22171700641894400,title_weapon_double dragon,Double Dragon,双龙戏珠,더블 드래곤
22171700679643136,description_weapon_double dragon,"Double up on <style=""Fire""> incendiary</style> rounds!","能射出两倍的<style=""Fire"">燃烧</style>弹！","<style=""Fire""> 소이</style> 탄환을 두 배로!"
22171700679643137,title_weapon_triple dragon,Triple Dragon,三龙开泰,트리플 드래곤
22171700679643138,description_weapon_triple dragon,"Let out your inner pyromaniac! Burst-style <style=""Fire""> incendiary</style> rounds.","释放你内心的纵火欲吧！它使用的是爆炸式<style=""Fire"">燃烧</style>弹。","내면의 방화광을 해방하라! 점사형 <style=""Fire""> 소이</style> 탄환."
22171700679643139,title_weapon_cyclone,Cycl0ne,金属旋风0,사이클0n
22171700679643140,description_weapon_cyclone,Tactical super-shotgun with excellent rate of fire and a tight spread,超级战术霰弹枪，射速极好，但杀伤面极窄,뛰어난 연사 속도와 좁은 탄퍼짐의 전술 슈퍼 산탄총
22171700679643141,title_weapon_quicksilver,Quicksilver,快银,퀵실버
22171700679643142,description_weapon_quicksilver,Trusty medium-damage rifle with high rate of fire,拥有中等伤害的可靠步枪，具有高射速,높은 연사 속도의 믿음직한 중간 피해량 소총
22171721114292224,ui_wait to start,Waiting for host to start game,等待房主开始游戏,호스트가 게임을 시작할 때까지 대기 중
22823671758630912,ui_start new game,Create game,创建游戏,게임 생성
22823973744324608,ui_join game,Join game,加入游戏,게임 참가
22824080640356352,quit,Quit,退出,종료
22824116908503040,ui_find game,Find game,查找游戏,게임 찾기
26505300778074112,ui_level name,Level,等级,레벨
27236572623843328,tutorial_consumable,Pick up consumable items for later use,捡起消耗品以供日后使用,소모품을 주워서 나중에 사용하라
27555866392997888,ui_lobby,Private Game,私人游戏,비공개 게임
27585001194598400,ui_leave,Leave,离开,떠나기
27585213220859904,ui_start game,Start Game,开始游戏,게임 시작
27586402738057216,choose_your_class,Choose your character,选择角色,캐릭터 선택
27592244577251328,choose_your_weapon,Choose starter weapon,选择初始武器,초기 무기 선택
27597654692540416,horde,Horde,敌群,적 무리
27597727816036352,attack,Attack,攻击,공격
27598872701644800,choose_weapon_to_replace,Choose weapon to replace,选择武器以替换,교체할 무기 선택
27599093590470656,Cancel,Cancel,取消,취소
27601704574070784,leaderboard,Leaderboard,积分板,리더보드
27620889715847168,ui_controller preset_2,Preset3,预设3,프리셋3
27620897399812096,title_ability_unlimited ammo,Ammo for days,库存如山,총알 무한리필
27975060165812224,ambush,Ambush,伏击,매복
29734100186402816,use_consumable_ammo,Hold [Shoot] to place ammo,按住 [Shoot] 以放置弹药,[Shoot]을 꾹 눌러 탄약을 배치
29734305820545024,use_consumable_medkit,Hold [Shoot] to heal yourself,按住 [Shoot] 以治疗自己,[Shoot]을 꾹 눌러 자신을 치료
30093507386748928,title_ability_melee,Melee,近战,근접
30093507424497664,description_ability_melee,Press [Talent] to perform a close-ranged shovel swing with high knockback,按　[Talent]　可在近距离挥动铲子，具有高击退效果,[Talent]을 눌러 강한 넉백의 근접 삽 공격을 수행한다
31558497574555648,info_weapon_batshot,Crit effect: Life steal,特别效果：吸血,치명타 효과: 생명력 흡수
31558497612304384,info_weapon_thundershot,Crit effect: Chain lightning,特别效果：链式闪电,치명타 효과: 연쇄 전격
31558497612304385,info_weapon_rifle,Crit effect: Stun,特别效果：眩晕,치명타 효과: 기절
31558497612304386,info_weapon_railgun,Crit effect: Chain Lightning,特别效果：链式闪电,치명타 효과: 연쇄 전격
31558497612304387,info_weapon_ice pick,Crit effect: Slow Down,特别效果：减速,치명타 효과: 둔화
32687882885214215,title_perk_fire_buff,Fire damage buff,火焰伤害增益,화염 피해 강화
32687882885214216,description_perk_fire_buff,"<style=""Fire""> Fire</style> burns <style=""Green"">{0}</style> longer and fire damage is increased by <style=""Green"">{1}</style>","<style=""Fire""> 火焰</style>持续燃烧<style=""Green"">{0}</style>更久，火焰伤害提高<style=""Green"">{1}</style>","<style=""Fire""> 화염</style>이 <style=""Green"">{0}</style> 더 오래 타오르며 화염 피해가 <style=""Green"">{1}</style> 증가"
32687882885214217,title_perk_lightning_buff,Lightning buff,电击增益,전기 강화
32687882885214218,description_perk_lightning_buff,"<style=""Lightning""> Chain lightning</style> jumps to <style=""Green"">{0}</style> targets","<style=""Lightning"">链式闪电</style>会跳到<style=""Green"">{0}</style>个目标身上","<style=""Lightning""> 연쇄 전격</style>이 <style=""Green"">{0}</style>개의 대상으로 연쇄된다"
32687882885214219,title_perk_ice_buff,Ice buff,冰冻增益,빙결 강화
32687882885214220,description_perk_ice_buff,"<style=""Ice""> Ice</style> slows <style=""Green"">{0}</style> more","<style=""Ice"">冰冻</style>减缓敌人速度<style=""Green"">{0}</style>","<style=""Ice""> 빙결</style> 둔화가 <style=""Green"">{0}</style> 더 강해진다"
32687882885214225,title_perk_health_bonus,Health buff,血量增益,체력 강화
32687882885214226,description_perk_health_bonus,"You have <style=""Green"">{0}</style> max HP","你的最高生命值为<style=""Green"">{0}</style>","최대 체력이 <style=""Green"">{0}</style>이다"
32687882885214227,title_perk_speed_bonus,Speed buff,速度增益,속도 강화
32687882885214228,description_perk_speed_bonus,"Movement, reviving, and consumable placement speed is <style=""Green"">{0}</style> faster","移动，复活和消耗品放置速度增加<style=""Green"">{0}</style>","이동, 부활 및 소모품 배치 속도가 <style=""Green"">{0}</style> 빨라짐"
32687882885214229,title_perk_pistol_ammo,Pistol Ammo,手枪弹药,권총 탄약
32687882885214230,description_perk_pistol_ammo,"Carry <style=""Green"">{0}</style> more pistol ammo","携带的手枪弹药增加 <style=""Green"">{0}</style>","권총 탄약을 <style=""Green"">{0}</style> 더 휴대한다"
32687882885214231,title_perk_shotgun_ammo,Shotgun Ammo,霰弹枪弹药,산탄총 탄약
32687882885214232,description_perk_shotgun_ammo,"Carry <style=""Green"">{0}</style> more shotgun ammo","携带的霰弹枪弹药增加 <style=""Green"">{0}</style>","산탄총 탄약을 <style=""Green"">{0}</style> 더 휴대한다"
32687882885214233,title_perk_machinegun_ammo,Machine Gun Ammo,机枪弹药,기관총 탄약
32687882885214234,description_perk_machinegun_ammo,"Carry <style=""Green"">{0}</style> more machine gun ammo","携带的机枪弹药增加 <style=""Green"">{0}</style>","기관총 탄약을 <style=""Green"">{0}</style> 더 휴대한다"
32687882885214235,title_perk_rifle_ammo,Rifle Ammo,步枪弹药,소총 탄약
32687882885214236,description_perk_rifle_ammo,"Carry <style=""Green"">{0}</style> more rifle ammo","携带的步枪弹药增加 <style=""Green"">{0}</style>","소총 탄약을 <style=""Green"">{0}</style> 더 휴대한다"
32687882885214237,title_perk_launcher_ammo,Launcher Ammo,发射器弹药,발사기 탄약
32687882885214238,description_perk_launcher_ammo,"Carry <style=""Green"">{0}</style> more launcher ammo","携带的发射器弹药增加 <style=""Green"">{0}</style>","발사기 탄약을 <style=""Green"">{0}</style> 더 휴대한다"
32687882885214239,title_perk_stamina_increase,Increase maximum stamina,增加最大耐力,최대 스태미나 증가
32687882885214240,description_perk_stamina_increase,"Increase stamina to <style=""Green"">{0}</style>.","耐力增加至<style=""Green"">{0}</style>","스태미나가 <style=""Green"">{0}</style>까지 증가."
32687882885214249,title_perk_damage_reduction,Reduce damage taken,减少所受伤害,피해 감소
32687882885214250,description_perk_damage_reduction,"Decrease damage taken by <style=""Green"">{0}</style>","所受伤害减少 <style=""Green"">{0}</style>","받는 피해가 <style=""Green"">{0}</style> 감소"
32687882885214251,title_perk_desperate_strength,Desperate strength,背水一战,필사의 힘
32687882885214252,description_perk_desperate_strength,"When HP dips below {0} of max HP, you get <style=""Green"">{1}</style> temporary HP (Once per mission)","生命值小于最高生命值的{0}时，你获得<style=""Green"">{1}</style>点临时生命值（每个任务一次）","체력이 최대 체력의 {0} 이하로 떨어지면 <style=""Green"">{1}</style>의 임시 체력을 획득 (임무당 1회)"
32687882885214253,title_perk_stamina_regeneration,Stamina regeneration,耐力恢复,스태미나 재생
32687882885214254,description_perk_stamina_regeneration,"Stamina regenerates <style=""Green"">{0}</style> faster","耐力恢复增加 <style=""Green"">{0}</style>","스태미나 재생 속도가 <style=""Green"">{0}</style> 빨라짐"
32687882885214255,title_perk_passive_reloading,Passive Reloading,被动装填,자동 장전
32687882885214256,description_perk_passive_reloading,Holstered gun reloads after {0}s,{0}秒后未手持的枪会重新装填,{0}초 후 미장착 무기가 자동으로 장전된다
32687882885214257,title_perk_kritical,Kritical,关键一击,치명타
32687882885214258,description_perk_kritical,Killing an enemy increases your Luck bonus by {0} for {1}s (Stackable),每杀死一个敌人，你的幸运奖励增加{0}，持续{1}秒（可叠加）,"적을 처치할 때마다 행운 보너스가 {0} 증가하며, {1}초 지속된다 (중첩 가능)"
32687882885214259,title_perk_adrenaline_rush,Adrenaline Rush,肾上腺素猛冲,아드레날린
32687882885214260,description_perk_adrenaline_rush,"<style=""Chance"">Chance</style> to get unlimited stamina for <style=""Green"">{0}s</style> when killing an enemy","杀死一个敌人，<style=""Chance"">有几率</style>获得无限耐力，持续<style=""Green"">{0}秒</style>","적 처치 시 <style=""Chance"">확률</style>로 <style=""Green"">{0}초</style> 동안 무한 스태미나를 획득"
32687882885214261,title_perk_shovel_steal,Life Steal,吸血,생명력 흡수
32687882885214262,description_perk_shovel_steal,"Hitting an enemy with the Shovel regenerates <style=""Green"">{0}</style> HP","用铲子击中敌人会恢复<style=""Green"">{0}</style>生命值","삽으로 적을 타격하면 <style=""Green"">{0}</style> 체력을 회복"
32687882885214263,title_perk_shovel_reload,Shovel reload,挥铲装填,삽 장전
32687882885214264,description_perk_shovel_reload,Killing an enemy with your shovel instantly reloads your weapon,使用铲子击杀敌人时立刻装填武器,삽으로 적을 처치하면 무기가 즉시 장전된다
32687882885214265,title_perk_shovel_damage,Lethal Positivity,致命情绪,강한 부정은 긍정
32687882885214266,description_perk_shovel_damage,"Killing an enemy with the shovel increases your damage by <style=""Green"">{0}</style> for {1}s. (Stackable)","用铲子击杀敌人，增加<style=""Green"">{0}</style>点伤害，持续{1}秒。（可叠加）","삽으로 적을 처치하면 피해량이 <style=""Green"">{0}</style> 증가하며 {1}초 지속된다. (중첩 가능)"
32687882885214267,title_perk_shovel_hipfire,Hip Fire,臀部射击,힙파이어
32687882885214268,description_perk_shovel_hipfire,"Firing a pistol increases your Reload speed by <style=""Green"">{0}</style> for {1}s. (Stackable)","用手枪射击，增加<style=""Green"">{0}</style>装填速度，持续{1}秒。（可叠加）","권총 발사 시 장전 속도가 <style=""Green"">{0}</style> 증가하며 {1}초 지속된다. (중첩 가능)"
32687882885214269,title_perk_cattleprod,Cattle Prod,牛刺,소몰이봉
32687882885214270,description_perk_cattleprod,"Replaces the shovel with a cattle prod that deals <style=""Lightning""> lightning</style> damage","将铲子替换为用能造成<style=""Lightning"">电击</style>伤害的牛刺","삽을 <style=""Lightning""> 전기</style> 피해를 주는 소몰이봉으로 교체한다"
32687882885214271,title_perk_runandgun,Run and Gun,跑打,달리며 쏴
32687882885214272,description_perk_runandgun,No movement penalty when shooting,移除移动射击减益,이동 중 사격 시 이동 속도 페널티가 없다
32687882885214273,title_perk_trigger_happy,Trigger Happy,战斗爽,방아쇠 광
32687882885214274,description_perk_trigger_happy,"Fire rate is increased by <style=""Green"">{0}</style> while using Focused Shot","使用会心一击时射速增加<style=""Green"">{0}</style>","집중 사격 사용 중 연사 속도가 <style=""Green"">{0}</style> 증가"
32687882885214275,title_perk_long_shot,Long Shot,远射,원거리 사격
32687882885214276,description_perk_long_shot,"Hitting an enemy from a long distance increases damage by up to <style=""Green"">{0}</style>","远距离攻击敌人时增加伤害，最高可达<style=""Green"">{0}</style>","먼 거리에서 적을 맞추면 피해가 최대 <style=""Green"">{0}</style>까지 증가"
32687882885214277,title_perk_takedown,Takedown,杀心骤起,테이크다운
32687882885214278,description_perk_takedown,"Killing an enemy with a rifle increases damage by <style=""Green"">{0}</style> for {1}s (stackable)","用步枪击杀敌人时增加伤害<style=""Green"">{0}</style>，持续{1}秒（可叠加）","소총으로 적을 처치하면 피해가 <style=""Green"">{0}</style> 증가하며 {1}초 지속된다 (중첩 가능)"
32687882885214279,title_perk_succor,Juiced Up!,燥起来！,즙까지 짜이지!
32687882885214280,description_perk_succor,"Hurting an enemy with the saw gives <style=""Green"">{0}</style> temporary HP","用电锯集中敌人会增加<style=""Green"">{0}</style>临时生命值","톱으로 적을 타격하면 <style=""Green"">{0}</style>의 임시 체력을 획득"
32687882885214283,title_perk_doctors_order,Doctor's Orders,医嘱,의사의 처방
